대분류코드,중분류코드,중분류명
26,67,고양이꼬리
26,68,고티페륜
26,69,골드타임
26,70,굴티행긴
26,71,글로리아
26,72,금난
26,73,기누라
26,74,나비난
26,75,노무라
26,76,단정화
26,77,대국도
26,78,대나무
26,79,덴섬
26,80,독구리난
26,81,듀란타
26,82,듀피
26,83,디비디움
26,84,디스키디아
26,85,래바톤
26,86,러브체인
26,87,레드비치
26,88,레비샤
26,89,리빙스토나
26,90,마꼬야
26,91,마란타
26,92,마르베카
26,93,마삭줄
26,94,마코아나
26,95,만냥금
26,96,무쵸
26,97,미디온골드
26,98,박쥐란
26,99,백정화
26,A0,브로와니아
26,A1,블로와이츠
26,A2,산호수
26,A3,샌디아
26,A4,석화
26,A5,셀렘
26,A6,솔바
26,A7,스카트랄리아
26,A8,호엽란
26,A9,실버폴
26,B0,싯닝지아
26,B1,썬로즈
26,B2,아가디스
26,B3,아비스
26,B4,아사이팜
26,B5,아이자카
26,B6,애란
26,B7,엘사콤
26,B8,염좌
26,B9,엽란
26,C0,옥천앵두
26,C1,와소니아
26,C2,율리아
26,C3,율마
26,C4,인삼
26,C5,인시기난스
26,C6,자마이쿨커스
26,C7,자모란샤스
26,C8,자바
26,C9,자트로바
26,D0,제로커
26,D1,조란
26,D2,카니포니윰
26,D3,칼로필럼
26,D4,코테리카
26,D5,크라슬라
26,D6,크로산데라
26,D7,티보치나
26,D8,파라솔
26,D9,판다나스
26,E0,페리아
26,E1,폴리파세리
26,E2,푸미라
26,E3,피어리스
26,E4,핑카
26,E5,향란
26,E6,호동란
26,E7,시클라멘
26,E8,국화
26,E9,임파티엔스
26,F1,캄파뉼라
26,F2,샤피니아
26,F3,프리뮬러
26,F4,관음죽
26,F5,벤자민
26,F6,동백나무
26,F7,행운목
26,F8,철쭉
26,F9,연산홍
26,G0,팔손이
26,G1,쉐프렐라
26,G2,자금우
26,G3,틸란디사아
26,G4,장미
26,G5,석죽
26,G6,허브
26,G7,야생화
26,G8,카네이션
26,ZZ,기타
27,00,화훼종자류(일반)
27,01,국화종자
27,02,메리골드종자
27,03,백합종자
27,04,베고니아종자
27,05,살비아종자
27,06,스타티스종자
27,07,안개초종자
27,08,장미종자
27,09,카네이션종자
27,10,코스모스종자
27,11,튜울립종자
27,12,팬지종자
27,13,페튜니아종자
27,14,프리뮬러종자
27,15,히야신스종자
27,16,야생화종자
27,17,맨드라미종자
27,18,데이지종자
27,19,석죽종자
27,20,팬지종자
27,21,사루비아종자
27,22,감국종자
27,23,과꽃종자
27,24,금계국종자
27,25,금잔화종자
27,26,꽃양귀비종자
27,27,꽈리종자
27,28,달맞이꽃종자
27,29,루드베키아종자
27,30,백일홍종자
27,31,봉선화종자
27,32,분꽃종자
27,33,접시꽃종자
27,34,천인국종자
27,35,춘차국종자
27,36,패랭이종자
27,37,한련화종자
27,38,해바라기종자
27,39,꽃양배추종자
27,40,난류종묘
27,41,거베라종자
27,98,허브종자
27,ZZ,기타
28,00,기타화훼(일반)
28,01,식충식물
28,02,허브
28,03,야생화
28,04,소재
28,05,수생식물
28,06,테라리움
28,ZZ,기타
29,00,석죽(일반)
29,01,종자
29,02,묘목
29,03,분재류
29,ZZ,기타
30,00,수목류(일반)
30,01,낙엽관목류
30,02,낙엽교목류
30,03,상록관목류
30,04,상록교목류
30,ZZ,기타
31,00,목재류(일반)
31,01,원목
31,02,제재목(일반용재)
31,03,제재목(1종구조재)
31,04,제재목(2종구조재)
31,05,제재목(3종구조재)
31,06,집성재(수장용)
31,07,집성재(수장용치장)
31,08,집성재(1종구조용)
31,09,집성재(2종구조용)
31,10,집성재(3종구조용)
31,12,원주목
31,13,내외장재
31,14,무늬목
31,15,대용목재
31,16,비계목
31,ZZ,기타
32,00,합판.보드류(일반)
32,01,보통합판
32,02,특수합판
32,03,플로어링 보드
32,04,섬유판
32,05,파티클보드
32,06,OSB
32,ZZ,기타
33,01,톱밥
33,02,칩
33,03,목탄
33,04,목초액
33,ZZ,기타
34,01,수엽류
34,02,수액류
34,03,칠액류
34,04,수피류
34,05,수지류
34,06,나무뿌리
34,ZZ,기타
35,01,니탄
35,02,토사
35,03,절토
35,04,마사토
35,05,원석
35,06,판재
35,07,천연모래
35,08,천연자갈
35,09,부순모래
35,10,부순자갈
35,11,토양
35,ZZ,기타
36,01,백합(오리엔탈)
36,02,백합(나팔나리)
36,03,백합(아시아틱)
36,04,금어초
36,05,프리지아
36,06,글라디올러스
36,07,꽃도라지
36,08,아이리스
36,09,튜울립
36,10,칼라
36,11,스토크
36,12,해바라기
36,13,솔리다스터
36,14,거베라
36,15,국화(스탠다드)
36,16,국화(스프레이)
36,17,국화(기타)
36,18,극락조화
36,19,리아트리스
36,20,스타티스
36,21,안개꽃
36,22,카네이션(스탠다드)
36,23,카네이션(스프레이)
36,24,카네이션(기타)
36,25,공작초
36,26,장미(스탠다드)
36,27,장미(스프레이)
36,28,장미(기타)
36,29,석죽(일반)
36,30,과꽃(일반)
36,31,알스트로메리아
36,32,소재류
37,01,향나무
37,02,단풍나무
37,03,주목
37,04,회양목
37,05,느티나무
37,06,소나무류
